estacion,lat,lon,temperatura,fuente
Allende Dos N. L.,25.27,-100.01,28.8,CONAGUA
Anáhuac N.L.,27.24,-100.13,32.1,CONAGUA
Aramberri N.L.,24.1,-99.82,28.8,CONAGUA
Cabezones N.L.,24.99,-99.74,31.8,CONAGUA
Camacho N.L.,24.87,-99.58,31.4,CONAGUA
Carmen de los Elizondo Linares N.L.,24.98,-99.44,32.5,CONAGUA
Cerralvo N.L.,26.09,-99.61,29.5,CONAGUA
Ciénega de Flores N.L.,25.95,-100.17,29.7,CONAGUA
Club Campestre,25.6382,-100.33785,31.6,NASA
Crucitas N.L.,24.78,-99.7,29,CONAGUA
Cuchillo-Solidaridad N.L.,25.71,-99.28,30,CONAGUA
Doctor Arroyo N.L.,23.68,-100.17,27,CONAGUA
El Canadá N.L.,25.8,-100.27,30.5,CONAGUA
El Cerrito N.L.,25.52,-100.2,29.9,CONAGUA
Galeana N.L.,24.83,-100.08,22.8,CONAGUA
José López Portillo N.L.,24.94,-99.4,30.3,CONAGUA
La Alianza,25.76978,-100.41882,37,NASA
La Boca N.L.,25.43,-100.13,30.3,CONAGUA
La Pamona N.L.,24.99,-99.22,31.8,CONAGUA
Las Enramadas N.L.,25.5,-99.53,31.8,CONAGUA
Madero N.L.,26.02,-99.2,32.6,CONAGUA
Metalsa,25.7494,-100.2004,37.1,NASA
Mier y Noriega N.L.,23.42,-100.12,29.1,CONAGUA
MONTERREY,25.73,-100.3,32,CONAGUA
Monterrey N.L.,25.68,-100.27,30.1,CONAGUA
