MUNICIPIO,MUNICIPIO_2,POBLACION,AÑO
Nuevo Leon,NUEVO LEON,4653458,2010
Abasolo,ABASOLO,2791,2010
Agualeguas,AGUALEGUAS,3443,2010
Allende,ALLENDE,32593,2010
Anahuac,ANAHUAC,18480,2010
Apodaca,APODACA,523370,2010
Aramberri,ARAMBERRI,15470,2010
Bustamante,BUSTAMANTE,3773,2010
Cadereyta Jimenez,CADEREYTA JIMENEZ,86445,2010
El Carmen,EL CARMEN,16092,2010
Cerralvo,CERRALVO,7855,2010
China,CHINA,10864,2010
Cienega De Flores,CIENEGA DE FLORES,24526,2010
Dr. Arroyo,DR. ARROYO,35445,2010
Dr. Coss,DR. COSS,1716,2010
Dr. Gonzalez,DR. GONZALEZ,3345,2010
Galeana,GALEANA,39991,2010
Garcia,GARCIA,143668,2010
Gral Bravo,GRAL BRAVO,5527,2010
Gral Escobedo,GRAL ESCOBEDO,357937,2010
Gral Teran,GRAL TERAN,14437,2010
Gral Treviño,GRAL TREVIÑO,1277,2010
Zaragoza,ZARAGOZA,5942,2010
Gral Zuazua,GRAL ZUAZUA,55213,2010
Guadalupe,GUADALUPE,678006,2010
Hidalgo,HIDALGO,16604,2010
Higueras,HIGUERAS,1594,2010
Hualahuises,HUALAHUISES,6914,2010
Iturbide,ITURBIDE,3558,2010
Juarez,JUAREZ,256970,2010
Lampazos,LAMPAZOS,5349,2010
Linares,LINARES,78669,2010
Aldamas,ALDAMAS,1374,2010
Herreras,HERRERAS,2030,2010
Ramones,RAMONES,5359,2010
Marin,MARIN,5488,2010
Melchor Ocampo,MELCHOR OCAMPO,862,2010
Mier Y Noriega,MIER Y NORIEGA,7095,2010
Mina,MINA,5447,2010
Montemorelos,MONTEMORELOS,59113,2010
Monterrey,MONTERREY,1135550,2010
Paras,PARAS,1034,2010
Pesqueria ,PESQUERIA ,20843,2010
Rayones,RAYONES,2628,2010
Sabinas Hidalgo,SABINAS HIDALGO,34671,2010
Salinas Victoria,SALINAS VICTORIA,32660,2010
San Nicolas De Los Garza,SAN NICOLAS DE LOS GARZA,443273,2010
San Pedro Garza Garcia,SAN PEDRO GARZA GARCIA,122659,2010
Santa Catarina,SANTA CATARINA,268955,2010
Santiago,SANTIAGO,40469,2010
Vallecillo,VALLECILLO,1971,2010
Villaldama,VILLALDAMA,4113,2010
Nuevo Leon,NUEVO LEON,4653458,2011
Abasolo,ABASOLO,2791,2011
Agualeguas,AGUALEGUAS,3443,2011
Allende,ALLENDE,32593,2011
Anahuac,ANAHUAC,18480,2011
Apodaca,APODACA,523370,2011
Aramberri,ARAMBERRI,15470,2011
