id,estacion,lat,lon,municipio,temp,pm1,pm10,pm2.5
e1,Sima Apodaca,25.777479,-100.188185,Apodaca,28.484993,18.998139,29.403011,27.028523
e2,"Cadereyta, Monterrey",25.585035,-100.001494,Cadereyta,29.867114,10.868017,17.634459,16.661859
e3,Parque lineal 2,25.792114,-100.322454,Escobedo,29.683533,18.266867,30.875137,28.399109
e4,Sima Garcia,25.80048169,-100.5851705,García,26.270637,18.664293,33.570616,31.096062
e5,Chapa Industrias,25.702488,-100.200311,Guadalupe,27.98409,14.85174,25.775579,23.303759
e6,Sima Juárez,25.646188,-100.095657,Juárez,29.009273,14.119155,24.057607,22.637137
e7,Sima Tec NL,25.665557,-100.243865,Guadalupe,27.382809,19.466552,32.844561,29.531074
e8,Mision Canterias,25.574843,-100.23844,Monterrey,29.383774,15.142412,24.785875,23.430319
e9,San Roberto International School Campus Valle Alto,25.575866,-100.257452,Monterrey,27.131198,13.55532,22.291616,20.772218
e10,Lagos del Bosque,25.600105,-100.262492,Monterrey,27.862377,15.811968,25.629004,24.223799
e11,Sierra Alta (Rincón de la Virgen),25.569397,-100.281212,Monterrey,27.029253,11.567667,19.602686,18.247146
e12,TEC Garza Laguera,25.61827,-100.27293,Monterrey,27.925161,13.66076,24.762193,23.077085
e13,Alcatraces,25.727991,-100.227162,Monterrey,31.232976,13.275424,24.278505,20.988789
e14,Sima Prepa Militarizada,25.762922,-100.36954,Monterrey,26.568785,11.059586,23.966575,18.50076
e16,Internacional KIlimanjaro Monterrey,25.721378,-100.400592,Monterrey,26.620064,15.438695,27.977664,25.571218
e17,Liceo Los Rosales,25.673807,-100.354002,Monterrey,29.371751,19.458144,31.793137,30.046975
e18,NCIM,25.693593,-100.35304,Monterrey,30.547333,15.92378,24.409478,22.65982
e19,El Horizonte,25.677493,-100.297609,Monterrey,31.558203,14.847022,25.269827,23.205904
e20,Villa Montana SPGG,25.64474,-100.403951,San Pedro,27.862377,15.811968,25.629004,24.223799
e21,Valle del Seminario,25.674448,-100.398572,San Pedro,28.621967,16.91435,28.701096,27.227725
e22,B cueva,25.629937,-100.366291,San Pedro,26.883931,13.228856,23.991035,21.407598
e23,San Patricio #106,25.641743,-100.347199,San Pedro,28.378608,16.620047,27.939162,26.284776
e24,Torre Los Nogales,25.660518,-100.38366,San Pedro,30.93449,5.648498,8.614404,8.015496
e25,Calzada del Valle,25.658959,-100.373167,San Pedro,28.495724,15.870657,27.84214,25.656314
e26,MESA,25.729621,-100.523596,Santa Catarina,28.62685,18.951322,30.980434,29.544478
e27,La Huasteca - Col. Los Nogales,25.625783,-100.455538,Santa Catarina,30.517637,12.175353,19.032232,18.302888
e28,Santa Catarina,25.675857,-100.465058,Santa Catarina,29.50983,16.955683,28.307283,27.130218
e29,"American School Foundation of Monterrey, A.C.",25.659333,-100.446508,Santa Catarina,28.896863,13.708146,22.562008,21.153487
e30,Fontana,25.505467,-100.193895,Santiago,29.954178,9.485805,16.490284,15.347082
e31,AGENERAL SNGNL,25.75302,-100.297616,San Nicolás,31.546883,16.002035,27.895798,22.164868
