id,estacion,lat,lon,municipio,temp
e1,Sima Apodaca,25.777479,-100.188185,Apodaca,28.484993
e2,"Cadereyta, Monterrey",25.585035,-100.001494,Cadereyta,29.867114
e3,Parque lineal 2,25.792114,-100.322454,Escobedo,29.683533
e4,Sima Garcia,25.80048169,-100.5851705,García,26.270637
e5,Chapa Industrias,25.702488,-100.200311,Guadalupe,27.98409
e6,Sima Juárez,25.646188,-100.095657,Juárez,29.009273
e7,Sima Tec NL,25.665557,-100.243865,Guadalupe,27.382809
e8,Mision Canterias,25.574843,-100.23844,Monterrey,29.383774
e9,San Roberto International School Campus Valle Alto,25.575866,-100.257452,Monterrey,27.131198
e10,Lagos del Bosque,25.600105,-100.262492,Monterrey,27.862377
e11,Sierra Alta (Rincón de la Virgen),25.569397,-100.281212,Monterrey,27.029253
e12,TEC Garza Laguera,25.61827,-100.27293,Monterrey,27.925161
e13,Alcatraces,25.727991,-100.227162,Monterrey,31.232976
e14,Sima Prepa Militarizada,25.762922,-100.36954,Monterrey,26.568785
e15,Instituto Bilingue Stanford,25.741053,-100.4099,Monterrey,28.65883
e16,Internacional KIlimanjaro Monterrey,25.721378,-100.400592,Monterrey,26.620064
e17,Liceo Los Rosales,25.673807,-100.354002,Monterrey,29.371751
e18,NCIM,25.693593,-100.35304,Monterrey,30.547333
e19,El Horizonte,25.677493,-100.297609,Monterrey,31.558203
e20,Villa Montana SPGG,25.64474,-100.403951,San Pedro,27.862377
e21,Valle del Seminario,25.674448,-100.398572,San Pedro,28.621967
e22,B cueva,25.629937,-100.366291,San Pedro,26.883931
e23,San Patricio #106,25.641743,-100.347199,San Pedro,28.378608
e24,Torre Los Nogales,25.660518,-100.38366,San Pedro,30.93449
e25,Calzada del Valle,25.658959,-100.373167,San Pedro,28.495724
e26,MESA,25.729621,-100.523596,Santa Catarina,28.62685
e27,La Huasteca - Col. Los Nogales,25.625783,-100.455538,Santa Catarina,30.517637
e28,Santa Catarina,25.675857,-100.465058,Santa Catarina,29.50983
e29,"American School Foundation of Monterrey, A.C.",25.659333,-100.446508,Santa Catarina,28.896863
e30,Fontana,25.505467,-100.193895,Santiago,29.954178
e31,AGENERAL SNGNL,25.75302,-100.297616,San Nicolás,31.546883
e32,Sima UANL,25.729716,-100.310272,San Nicolás,23.366667
