MUNICIPIO_NORMAL,MUNICIPIO,MUNICIPIO_original,VEHICULOS
ABASOLO,Abasolo,Abasolo,1089
AGUALEGUAS,Agualeguas,Agualeguas,1869
ALDAMAS,Los Aldamas,Los Aldamas,449
ALLENDE,Allende,Allende,23526
ANAHUAC,Anahuac,Anáhuac,4608
APODACA,Apodaca,Apodaca,237137
ARAMBERRI,Aramberri,Aramberri,2963
BUSTAMANTE,Bustamante,Bustamante,1111
CADEREYTA JIMENEZ,Cadereyta Jimenez,Cadereyta Jiménez,49813
CERRALVO,Cerralvo,Cerralvo,4398
CHINA,China,China,4991
CIENEGA DE FLORES,Cienega de Flores,Ciénega de Flores,12268
COLOMBIA,NA,NA,95
DATO NO REGISTRADO,NA,NA,2
DR. ARROYO,Doctor Arroyo,Doctor Arroyo,12422
DR. COSS,Doctor Coss,Doctor Coss,839
DR. GONZALEZ,Doctor Gonzalez,Doctor González,1435
EL CARMEN,El Carmen,El Carmen,7863
GALEANA,Galeana,Galeana,10810
GARCIA,Garcia,García,54481
GRAL BRAVO,General Bravo,General Bravo,2743
GRAL ESCOBEDO,General Escobedo,General Escobedo,147728
GRAL TERAN,General Teran,General Terán,6854
GRAL TREVI�O,General Trevino,General Treviño,623
GRAL ZUAZUA,General Zuazua,General Zuazua,12119
GUADALUPE,Guadalupe,Guadalupe,347855
HERRERAS,Los Herreras,Los Herreras,751
HIDALGO,Hidalgo,Hidalgo,6873
HIGUERAS,Higueras,Higueras,586
HUALAHUISES,Hualahuises,Hualahuises,2528
ITURBIDE,Iturbide,Iturbide,737
JUAREZ,Juarez,Juárez,80820
LAMPAZOS,Lampazos de Naranjo,Lampazos de Naranjo,1449
LINARES,Linares,Linares,26148
MARIN,Marin,Marín,2370
MELCHOR OCAMPO,Melchor Ocampo,Melchor Ocampo,502
MIER Y NORIEGA,Mier y Noriega,Mier y Noriega,1135
MINA,Mina,Mina,1870
MONTEMORELOS,Montemorelos,Montemorelos,30904
MONTERREY,Monterrey,Monterrey,697050
PARAS,Paras,Parás,440
PESQUERIA ,Pesqueria,Pesquería,13146
RAMONES,Los Ramones,Los Ramones,2358
RAYONES,Rayones,Rayones,569
SABINAS HIDALGO,Sabinas Hidalgo,Sabinas Hidalgo,16362
SALINAS VICTORIA,Salinas Victoria,Salinas Victoria,13645
SAN NICOLAS DE LOS GARZA,San Nicolas de los Garza,San Nicolás de los Garza,286625
SAN PEDRO GARZA GARCIA,San Pedro Garza Garcia,San Pedro Garza García,125511
SANTA CATARINA,Santa Catarina,Santa Catarina,120732
SANTIAGO,Santiago,Santiago,31391
SN R DE GALEANA,,,44
VALLECILLO,Vallecillo,Vallecillo,727
VILLALDAMA,Villaldama,Villaldama,1803
ZARAGOZA,General Zaragoza,General Zaragoza,754
