CVEGEO,CVE_ENT,CVE_MUN,MUNICIPIO
"19001","19","001",Abasolo
"19002","19","002",Agualeguas
"19003","19","003",Los Aldamas
"19004","19","004",Allende
"19005","19","005",Anáhuac
"19006","19","006",Apodaca
"19020","19","020",General Bravo
"19021","19","021",General Escobedo
"19022","19","022",General Terán
"19023","19","023",General Treviño
"19024","19","024",General Zaragoza
"19025","19","025",General Zuazua
"19026","19","026",Guadalupe
"19027","19","027",Los Herreras
"19028","19","028",Higueras
"19007","19","007",Aramberri
"19008","19","008",Bustamante
"19009","19","009",Cadereyta Jiménez
"19010","19","010",El Carmen
"19011","19","011",Cerralvo
"19012","19","012",Ciénega de Flores
"19013","19","013",China
"19014","19","014",Doctor Arroyo
"19015","19","015",Doctor Coss
"19016","19","016",Doctor González
"19017","19","017",Galeana
"19018","19","018",García
"19019","19","019",San Pedro Garza García
"19029","19","029",Hualahuises
"19030","19","030",Iturbide
"19031","19","031",Juárez
"19032","19","032",Lampazos de Naranjo
"19033","19","033",Linares
"19034","19","034",Marín
"19035","19","035",Melchor Ocampo
"19036","19","036",Mier y Noriega
"19037","19","037",Mina
"19038","19","038",Montemorelos
"19039","19","039",Monterrey
"19040","19","040",Parás
"19041","19","041",Pesquería
"19042","19","042",Los Ramones
"19043","19","043",Rayones
"19044","19","044",Sabinas Hidalgo
"19045","19","045",Salinas Victoria
"19046","19","046",San Nicolás de los Garza
"19047","19","047",Hidalgo
"19048","19","048",Santa Catarina
"19049","19","049",Santiago
"19050","19","050",Vallecillo
"19051","19","051",Villaldama
